10000000,1000,8.77E-05,0.006058462,0,0
10000000,3000,1.05E-04,0.066721937,0,0
10000000,5000,1.33E-04,0.215729336,0,0
10000000,7000,1.85E-04,0.579418617,0,0
10000000,9000,2.95E-04,1.586304472,0,0
10000000,11000,5.96E-04,4.797877941,0,0
80000,1000,8.89E-05,0.007002987,0,0
80000,3000,1.03E-04,0.061422682,3,3.00E-04
80000,5000,1.31E-04,0.206765405,7,7.00E-04
80000,7000,1.71E-04,0.51336836,50,0.005
80000,9000,2.01E-04,0.835848424,92,0.0092
80000,11000,2.38E-04,1.46891728,229,0.0229
160000,1000,8.63E-05,0.006616282,0,0
160000,3000,1.03E-04,0.059835265,0,0
160000,5000,1.35E-04,0.217046909,0,0
160000,7000,1.66E-04,0.467607204,0,0
160000,9000,2.79E-04,1.419380593,4,4.00E-04
160000,11000,3.86E-04,2.704487694,32,0.0032
240000,1000,8.65E-05,0.006631777,0,0
240000,3000,1.05E-04,0.062402058,0,0
240000,5000,1.35E-04,0.22079558,0,0
240000,7000,1.85E-04,0.588023236,0,0
240000,9000,3.09E-04,1.731101861,3,3.00E-04
240000,11000,5.65E-04,4.667757675,9,9.00E-04
